建案名稱,總價,格局/地坪,建坪,位置,網站
良勳淵源,None,位址:,…,台南市安南區新淵段311-1地號,https://tainan.housetube.tw/46746
初居2,"1,988~3,380萬",56.19~67,台南市新市區大社里大社58號（大社國小旁）,台南市新市區大社里大社58號（大社國小旁）,https://tainan.housetube.tw/46694
千代田,"1,988~3,380萬",22.5~34.5,位址:,南區永成路三段240巷,https://tainan.housetube.tw/46612
春日朗2,"1,251~1,297萬",43.09~47.54,台南麻豆區大山國小旁,台南麻豆區大山國小旁,https://tainan.housetube.tw/46565
擇白,"898~1,458萬",位址:,食衣住行育樂皆有,台南市東區仁和路111巷88號,https://tainan.housetube.tw/46460
樂禾屋,"898~1,458萬",位址:,成屋,未提供,https://tainan.housetube.tw/46425
砌韻2,"898~1,458萬",33.2~48,台南市安南區安中路四段211巷51弄7號,台南市安南區安中路四段211巷51弄7號,https://tainan.housetube.tw/46411
臻藏NO.7,"898~1,458萬",72~110,台南市安南區溪東二街10號,台南市安南區溪東二街10號,https://tainan.housetube.tw/46065
昕暉景寬,"898~1,458萬",25~37,台南市永康區永善路與永善一街,台南市永康區永善路與永善一街,https://tainan.housetube.tw/46064
佳北-閎悅,"1,980萬起",29.1~35,位址:,台南市佳里區佳北路182號,https://tainan.housetube.tw/46062
堡成藏蘊,"2,075~2,498萬",位址:,明星學區,台南市新營區新北二街,https://tainan.housetube.tw/46054
橫川家之戀3,"2,075~2,498萬",位址:,低總價,台南市安定區港口段2792-2地號,https://tainan.housetube.tw/46045
年年如意102期,"2,075~2,498萬",47.22~56.31,台南市安南區府安路六段24號旁,台南市安南區府安路六段24號旁,https://tainan.housetube.tw/46044
聽心苑2,29.8~34.6萬/坪,位址:,近公園,台南市新化區民治路118號旁,https://tainan.housetube.tw/46027
茴香6金星,29.8~34.6萬/坪,位址:,低總價,台南市善化區德興段758地號,https://tainan.housetube.tw/46014
新家波,None,位址:,明星學區,台南市安南區新宅二街36號,https://tainan.housetube.tw/45921
白河金旺角,"1,120~1,375萬",34.79~50.22,位址:,白河區國泰路與裕農路三角窗,https://tainan.housetube.tw/45898
碧海大展,"888~1,130萬",未提供,台南市安定區海寮里海寮27之1號,台南市安定區海寮里海寮27之1號,https://tainan.housetube.tw/45882
家建築,"888~1,130萬",位址:,首購,永康區文賢街,https://tainan.housetube.tw/45843
梧址境,"888~1,130萬",位址:,明星學區,台南市安南區天馬段284地號,https://tainan.housetube.tw/45819
海富深見,45~50萬/坪,位址:,明星學區,台南市安南區永續路與宜居一街交叉口,https://tainan.housetube.tw/45791
加賀屋6,29~37.8萬/坪,位址:,低總價,台南市仁德區太子三街,https://tainan.housetube.tw/45787
南科之心6,29~31萬/坪,位址:,首購,善化區善駕段1136地號,https://tainan.housetube.tw/45773
南科闊朗朗,"610~1,000萬",位址:,首購,台南市安定區蘇林段92地號,https://tainan.housetube.tw/45761
寶太上境,"2,588~3,688萬",36.88~40.75,台南市永康區自強路379巷內 (自強段89地號),台南市永康區自強路379巷內 (自強段89地號),https://tainan.housetube.tw/45759
光隅,"2,588~3,688萬",61~79,總安街一段362巷28弄50號,總安街一段362巷28弄50號,https://tainan.housetube.tw/45621
開喜苑,"1,318~1,498萬",47.42~52.55,台南市西港區堀子頭65-21號(忠孝街),台南市西港區堀子頭65-21號(忠孝街),https://tainan.housetube.tw/45567
西湖十六,820~850萬,43.43~46.75,香雨書院旁,香雨書院旁,https://tainan.housetube.tw/45514
美麗公主,"1,480~1,598萬",位址:,低總價,台南市安定區海安段0764-0000+0763-0000地號,https://tainan.housetube.tw/45473
未來館5,"1,480~1,598萬",位址:,首購,未提供,https://tainan.housetube.tw/45453
喜硯3,"1,480~1,598萬",48~51,台南市歸仁區南丁路437巷,台南市歸仁區南丁路437巷,https://tainan.housetube.tw/45418
青石居3,"1,590萬",位址:,低自備,台南市永康區龍潭段232地號,https://tainan.housetube.tw/45412
柳營富城,"1,590萬",49.77,位址:,台南市柳營區柳營路二段303號,https://tainan.housetube.tw/45398
清庭6+里館,"1,180~1,490萬",43~53,佳里區菜寮里23-60號,佳里區菜寮里23-60號,https://tainan.housetube.tw/45367
官田樂透5,828~988萬,27.5~34.09,官田區八田路一段133巷,官田區八田路一段133巷,https://tainan.housetube.tw/45348
寬澄,"1,298~1,398萬",65,台南市佳里區番子寮158-1~2號,台南市佳里區番子寮158-1~2號,https://tainan.housetube.tw/45321
僑昱Field Life,42~44.8萬/坪,位址:,,台南市善化區省道1號(善化啤酒廠正對面),https://tainan.housetube.tw/45317
謙福,30~35萬/坪,位址:,近公園,台南市新市區大營里,https://tainan.housetube.tw/45313
鄰語堂5,30~35萬/坪,位址:,低總價,台南市永康區北極段295地號,https://tainan.housetube.tw/45312
華友聯MIHO,"1,288~1,788萬",位址:,重劃區,萬年七街&萬年八街路口,https://tainan.housetube.tw/45311
堃廷建設-遇見·安平,"1,288~1,788萬",35,位址:,臺南市安平區安平路712號,https://tainan.housetube.tw/45266
市心Casa2,"1,288~1,788萬",26.57~31.23,台南市善化區光明路60號旁,台南市善化區光明路60號旁,https://tainan.housetube.tw/45256
尚讚10,"1,288~1,788萬",42.7~50.2,安南區天馬段,安南區天馬段,https://tainan.housetube.tw/45213
傳家堡7,"1,288~1,788萬",51~61,麻豆安業國小正對面,麻豆安業國小正對面,https://tainan.housetube.tw/45211
樓厝,"1,790萬起",63~78,台南市西港區劉厝90-2號,台南市西港區劉厝90-2號,https://tainan.housetube.tw/45141
鴻誠禾睦,"1,588~1,858萬",45~58,育善街135巷,育善街135巷,https://tainan.housetube.tw/45140
九硯寶硯,"3,800萬",位址:,預售,仁德區中洲路765號對面,https://tainan.housetube.tw/45138
茴香5 享家,"3,800萬",88,台南市善化區什美段666地號,台南市善化區什美段666地號,https://tainan.housetube.tw/45113
舜耕常善,"3,400~3,750萬",69.81~78.19,台南市善化區公園路388-400號,台南市善化區公園路388-400號,https://tainan.housetube.tw/45021
樺成 新語院,30萬/坪起,位址:,預售,台南市新市區中華路69號旁,https://tainan.housetube.tw/45007
沅恆拾玥,26萬/坪起,位址:,景觀宅,台南市善化區東勢寮段二小段1176地號,https://tainan.housetube.tw/45005
春風華廈NO.6,31.3萬/坪,位址:,低自備,台南市太子北路162號旁,https://tainan.housetube.tw/44981
立堡京站,654~982萬,位址:,首購,台南市新營區興業段0199地號,https://tainan.housetube.tw/44959
傑作NO.2,598萬起,位址:,明星學區,慈興路與慈興三街口,https://tainan.housetube.tw/44938
登峰8,"3,780萬",87.76,安平光州七街119號,安平光州七街119號,https://tainan.housetube.tw/44933
方澄市8-享樂家,33萬/坪,位址:,預售,台南市善化區曾文段1649地號,https://tainan.housetube.tw/44927
日初莊園II,33萬/坪,位址:,預售,台南市安定區港口段1491-6地號,https://tainan.housetube.tw/44903
儷城欣欣6,None,位址:,預售,未提供,https://tainan.housetube.tw/44902
悠植居5,None,39.24~43.57,台南市柳營區公園街,台南市柳營區公園街,https://tainan.housetube.tw/44783
非凡原墅30,None,46.8~60.3,台南市新營區南紙街85巷旁,台南市新營區南紙街85巷旁,https://tainan.housetube.tw/44739
春福開緒,None,27.39~42.74,台南市永康區永安二街與新行街口,台南市永康區永安二街與新行街口,https://tainan.housetube.tw/44723
居閑6 S-Haus 星寓所,"936~1,747萬",位址:,景觀宅,南市善化區東勢寮段二小段0812地號,https://tainan.housetube.tw/44714
怡華天外天,"936~1,747萬",41~67,台南市玉井區忠孝路,台南市玉井區忠孝路,https://tainan.housetube.tw/44694
清景麟 美學,558~728萬,24~34,慈興六街＆慈興七街&公學路六段721巷,慈興六街＆慈興七街&公學路六段721巷,https://tainan.housetube.tw/44666
三登耘境,558~728萬,位址:,景觀宅,台南市新市區三舍復興路巷內 (南三舍段696地號),https://tainan.housetube.tw/44634
心心相印7,558~728萬,位址:,預售,關廟區北花段210地號,https://tainan.housetube.tw/44614
歐香堡42&43期,568萬起,18.95~25.95,仁德區亞洲駕訓班旁,仁德區亞洲駕訓班旁,https://tainan.housetube.tw/44522
陶喜琢悦,"1,086~1,780萬",位址:,低首付,台南市永康區復華五街,https://tainan.housetube.tw/44503
華友聯 ONE LIVE,"1,086~1,780萬",位址:,重劃區,萬年一街286巷,https://tainan.housetube.tw/44482
MoMA17,"1,368~2,088萬",位址:,重劃區,台南市東區崇吉一街,https://tainan.housetube.tw/44452
福灣寬庭10,"6,600萬起",48.05~54.07,南區萬年三街,南區萬年三街,https://tainan.housetube.tw/44420
傳家寶,"6,600萬起",位址:,首購,台南市永康區北興路137號,https://tainan.housetube.tw/44306
知築粼川,"6,600萬起",142~155,安通路六段與海佃路二段,安通路六段與海佃路二段,https://tainan.housetube.tw/44305
呈豐日日31,"1,908萬起",未提供,未提供,未提供,https://tainan.housetube.tw/44298
舞線譜,"1,908萬起",58~59,鹿耳門聖母廟7-11對面,鹿耳門聖母廟7-11對面,https://tainan.housetube.tw/44219
吉億擁恆5,None,54~58,麻豆區清水里溝子墘65號,麻豆區清水里溝子墘65號,https://tainan.housetube.tw/44173
禾震super3,35~36萬/坪,位址:,首購,台南市永康區四維街,https://tainan.housetube.tw/44172
居佳,"2,088~2,188萬",位址:,低總價,台南市安平區光州八街18號旁,https://tainan.housetube.tw/44170
瑧邸ONE,"2,088~2,188萬",56~80,新營區新北一街,新營區新北一街,https://tainan.housetube.tw/44049
明日計畫,"2,088~2,188萬",位址:,首購,"安定區蘇安段地號898,898-2號",https://tainan.housetube.tw/43993
永康晨曦,"2,088~2,188萬",45~55,永康區富強路二段56巷29弄5號,永康區富強路二段56巷29弄5號,https://tainan.housetube.tw/43918
連建苒苒,"2,555~2,835萬",位址:,戶戶平車,善化區圳西段881地號,https://tainan.housetube.tw/43771
晴天2期,"2,555~2,835萬",85.19~94.42,台南市永康區和平路251巷,台南市永康區和平路251巷,https://tainan.housetube.tw/43711
市心CITY,"1,298~2,370萬",位址:,成屋,臺南市新化區大同街,https://tainan.housetube.tw/43643
首賦,"1,298~2,370萬",56~68,台南市六甲區光復街(近六甲運動公園),台南市六甲區光復街(近六甲運動公園),https://tainan.housetube.tw/43355
樂樂南科,"990~1,650萬",位址:,首購,台南市善化區茄拔段一小段1312號等4筆,https://tainan.housetube.tw/42891
綠森活,"990~1,650萬",40~67,台南市關廟區深坑三街43號旁,台南市關廟區深坑三街43號旁,https://tainan.housetube.tw/42870
觀•嶺居,16~22萬/坪,位址:,低總價,台南市白河區關仔嶺,https://tainan.housetube.tw/42732
愛上遇景5,628萬起,13.73~25.97,台南市玉井區芒子芒段667號(台20線旁),台南市玉井區芒子芒段667號(台20線旁),https://tainan.housetube.tw/42731
初森,"1,988~2,888萬",位址:,明星學區,台南市安南區本原街3段134巷,https://tainan.housetube.tw/42702
上賦園,"1,988~2,888萬",48.81~61.2,台南市永康區竹園二街95巷,台南市永康區竹園二街95巷,https://tainan.housetube.tw/42637
宇晨植得,"2,577~4,253萬",64.7~82.4,台南市善化區成功路169巷旁,台南市善化區成功路169巷旁,https://tainan.housetube.tw/42593
聚富,"2,577~4,253萬",65.73~69.52,永康區大灣五街93巷79號,永康區大灣五街93巷79號,https://tainan.housetube.tw/42574
鴻翌城6,"2,577~4,253萬",61.97~91.46,台南市南區萬年七街與萬年五街400巷交叉口,台南市南區萬年七街與萬年五街400巷交叉口,https://tainan.housetube.tw/42459
皇龍天晴,40~44萬/坪,位址:,景觀宅,永康區永興段440地號（忠孝一路66巷）,https://tainan.housetube.tw/42365
官田樂透3,"6,588萬",未提供,位址:,台南市官田區八田路一段,https://tainan.housetube.tw/42361
大任之耀,"6,588萬",未提供,台南市善化區成功路(善化啤酒廠斜對面),台南市善化區成功路(善化啤酒廠斜對面),https://tainan.housetube.tw/42333
光年･新美世代,"6,588萬",位址:,低自備,臺南市善化區德興段 49-1 地號,https://tainan.housetube.tw/42331
為有巢-長和,"6,588萬",47~48.06,台南市安南區安昌街106巷11弄,台南市安南區安昌街106巷11弄,https://tainan.housetube.tw/42266
水立方-透天,"6,588萬",55~76,月津國小旁,月津國小旁,https://tainan.housetube.tw/42236
原砌16,"6,588萬",36,位址:,台南東區崇德路116號,https://tainan.housetube.tw/42189
水立方-華廈公寓,"1,058~1,558萬",位址:,明星學區,月津國小旁,https://tainan.housetube.tw/42157
誠銳勝利,"1,058~1,558萬",位址:,成屋,佳南路(7-11佳龍門市斜對面),https://tainan.housetube.tw/42106
皇政首席鍗𨰰,"1,058~1,558萬",位址:,景觀宅,永大路三段620號,https://tainan.housetube.tw/28665
良勳森悦,"1,598~2,630萬",29~41,台南市安南區北安路二段與北安二街口,台南市安南區北安路二段與北安二街口,https://tainan.housetube.tw/42008
沐夏,"1,598~2,630萬",43~50,台南市安南區長和路四段231巷,台南市安南區長和路四段231巷,https://tainan.housetube.tw/41944
心迎風彩2,"1,288萬起",48~65,新北八街,新北八街,https://tainan.housetube.tw/41804
陶喜大賞-安吉墅,550~885萬,22.4~49.5,位址:,台南市安南區安吉路與本原街106巷口,https://tainan.housetube.tw/41698
陶喜大賞-長和墅,550~885萬,46.5~61,台南市安南區公學路二段,台南市安南區公學路二段,https://tainan.housetube.tw/41697
Magnum Opus,550~885萬,未提供,台南市北區文成路327號,台南市北區文成路327號,https://tainan.housetube.tw/41565
築城生活NO.3,550~885萬,位址:,首購,台南市永康區大灣路112巷,https://tainan.housetube.tw/41540
金色風采13,550~885萬,38.08~42.65,歸仁區丁厝街35巷36號旁,歸仁區丁厝街35巷36號旁,https://tainan.housetube.tw/41454
麗晶PARK,550~885萬,位址:,低自備,台南市新營區新電段308、362地號等2筆,https://tainan.housetube.tw/41415
寓見南科,37~44萬/坪,位址:,預售,台南市永康區和平路212巷3號,https://tainan.housetube.tw/41377
上富格,37~44萬/坪,位址:,首購,自強路上,https://tainan.housetube.tw/41345
尚暘天閤,"1,430萬起",37~56,臺南市安平區平通路366號旁 (大臺南智慧交通中心旁),臺南市安平區平通路366號旁 (大臺南智慧交通中心旁),https://tainan.housetube.tw/41205
大隆風範8,"1,430萬起",45,位址:,郡平路,https://tainan.housetube.tw/41194
昶瓏織心,"1,430萬起",位址:,首購,台南市麻豆區新生南路696巷內,https://tainan.housetube.tw/41130
春宜NO.3,"1,430萬起",47~53,歸仁區八甲段4156地號,歸仁區八甲段4156地號,https://tainan.housetube.tw/41127
家多美5,"2,780萬",63,台南市安南區府安路五段11巷77弄12號,台南市安南區府安路五段11巷77弄12號,https://tainan.housetube.tw/40804
佳晟家賀,33~36萬/坪,26~40,安通路五段/海佃路二段,安通路五段/海佃路二段,https://tainan.housetube.tw/40712
清淞居2~Mr.田中,888~918萬,40~43.67,台南市六甲區龜港里龜仔港31巷,台南市六甲區龜港里龜仔港31巷,https://tainan.housetube.tw/40235
